Elevation (m),Storage (mcm),Area (m2)
215.4936,327.4941206,11137363.41
215.7984,330.7274417,11225584.95
216.1032,333.9862959,11316234.62
216.408,337.2696963,11402028.05
216.7128,340.5775196,11487012.11
217.0176,343.9086557,11572805.54
217.3224,347.2642147,11659408.35
217.6272,350.6432098,11739940.86
217.932,354.0447776,11824115.55
218.2368,357.4702749,11910313.67
218.5416,360.9200718,11995297.73
218.8464,364.3929347,12077448.98
219.1512,367.8899739,12167693.96
219.456,371.411806,12256724.88
219.7608,374.9579376,12338876.14
220.0656,378.526642,12421432.08
220.3704,382.1181657,12506416.14
220.6752,385.734359,12597065.81
220.98,389.3758386,12687310.79
221.2848,393.0411245,12770271.42
221.5896,396.7298464,12857278.91
221.8944,400.4431146,12947119.2
222.1992,404.1822859,13041815.72
222.504,407.9476069,13135298.19
222.8088,411.7401879,13232827.51
223.1136,415.5583019,13329952.15
223.4184,419.4041692,13424243.99
223.7232,423.2769263,13522582.69
224.028,427.17645,13612827.67
224.3328,431.1007666,13703477.33
224.6376,435.0524665,13813956.61
224.9424,439.0364835,13922412.46
225.2472,443.0509675,14026012.07
225.552,447.0924648,14123136.71
225.8568,451.1615919,14223903.53
226.1616,455.2594592,14326289.09
226.4664,459.3842163,14418152.81
226.7712,463.5341364,14512039.96
227.076,467.7109464,14611188.03
227.3808,471.9168665,14719643.88
227.6856,476.1525135,14820410.69
227.9904,480.4151737,14920772.82
228.2952,484.7060805,15022753.69
228.6,489.0267143,15132018.91
228.9048,493.3769515,15231976.35
229.2096,497.754202,15330315.05
229.5144,502.1593291,15432295.92
229.8192,506.5931964,15538728.34
230.124,511.0567904,15642732.64
230.4288,515.5492479,15746332.26
230.7336,520.0694587,15843456.9
231.0384,524.6163127,15941390.91
231.3432,529.19055,16042562.41
231.648,533.7930339,16146566.71
231.9528,538.4247513,16250571.02
232.2576,543.0849621,16359026.86
232.5624,547.7753931,16464245.22
232.8672,552.495181,16572296.39
233.172,557.2451891,16681966.29
233.4768,562.0260342,16790826.83
233.7816,566.8366062,16894831.13
234.0864,571.6745615,16993574.51
234.3912,576.5402701,17098792.87
234.696,581.4357055,17206439.35
235.0008,586.3611145,17316918.63
235.3056,591.3173605,17424160.42
235.6104,596.3019765,17526141.29
235.9152,601.3150859,17630145.59
236.22,606.3563187,17734149.89
236.5248,611.4274016,17846247.91
236.8296,616.5311718,17965630.28
237.1344,621.6676293,18079751.74
237.4392,626.8343069,18184565.41
237.744,632.0300947,18292211.89
238.0488,637.2570896,18407952.08
238.3536,642.5149214,18516407.93
238.6584,647.8030969,18628505.95
238.9632,653.1228494,18746674.26
239.268,658.4761526,18865651.95
239.5728,663.8612796,18977345.28
239.8776,669.2776136,19093490.17
240.1824,674.7272516,19212467.85
240.4872,680.2090834,19327803.36
240.792,685.7236025,19447590.42
241.0968,691.2716722,19568186.84
241.4016,696.8535392,19688783.27
241.7064,702.4678468,19803714.1
242.0112,708.1144715,19921882.41
242.316,713.7935368,20038431.98
242.6208,719.5047959,20154981.54
242.9256,725.2486189,20274363.91
243.2304,731.0262392,20398602.52
243.5352,736.8437009,20545908.22
243.84,742.6970569,20665695.28
244.1448,748.5838402,20787505.76
244.4496,754.5038041,20907292.82
244.7544,760.4571953,21029507.99
245.0592,766.445124,21154151.28
245.364,772.4666033,21273128.96
245.6688,778.5210165,21394130.08
245.9736,784.6123108,21541435.78
246.2784,790.7457901,21688336.8
246.5832,796.9226879,21844140.91
246.888,803.1420174,21985781.01
247.1928,809.3997082,22119732.07
247.4976,815.6951434,22256111.26
247.8024,822.0288165,22392085.75
248.1072,828.4007275,22528869.62
248.412,834.8102596,22665653.49
248.7168,841.2577829,22798795.18
249.0216,847.7416939,22928699.39
249.3264,854.2624859,23065887.94
249.6312,860.8210224,23198624.95
249.936,867.4166867,23334194.76
250.2408,874.0502187,23473002.06
250.5456,880.7232222,23617474.96
250.8504,887.4364371,23758710.37
251.1552,894.1897401,23902778.59
251.46,900.9823911,24043609.32
251.7648,907.8146368,24186058.79
252.0696,914.6862306,24326484.83
252.3744,921.5966789,24466101.5
252.6792,928.546722,24610979.09
252.984,935.5369765,24753428.56
253.2888,942.5659623,24891021.8
253.5936,949.6330626,25031447.84
253.8984,956.7404977,25179158.23
254.2032,963.8881442,25319179.59
254.508,971.0739053,25460819.69
254.8128,978.2997545,25608934.77
255.1176,985.5670486,25755835.78
255.4224,992.8754176,25905569.6
255.7272,1000.226835,26064611.2
256.032,1007.622905,26220010.63
256.3368,1015.060912,26367316.33
256.6416,1022.540488,26521097.01
256.9464,1030.063976,26675282.38
257.2512,1037.628539,26819755.28
257.556,1045.23319,26966251.61
257.8608,1052.878792,27114366.69
258.1656,1060.566333,27268956.74
258.4704,1068.298032,27425974.91
258.7752,1076.072657,27576113.41
259.08,1083.888603,27723823.8
259.3848,1091.74513,27870724.82
259.6896,1099.642979,28022077.38
259.9944,1107.583507,28177072.12
260.2992,1115.567946,28336518.41
260.604,1123.597408,28495560
260.9088,1131.670041,28648126.63
261.2136,1139.785599,28803121.36
261.5184,1147.944946,28961758.28
261.8232,1156.147958,29115134.27
262.128,1164.393155,29268105.58
262.4328,1172.682264,29429170.61
262.7376,1181.015532,29583355.97
263.0424,1189.390861,29735922.59
263.3472,1197.809485,29892536.08
263.652,1206.271281,30048744.87
263.9568,1214.777113,30207381.78
264.2616,1223.326363,30360757.78
264.5664,1231.917551,30512919.71
264.8712,1240.548087,30650108.27
265.176,1249.214518,30786082.76
265.4808,1257.917952,30925699.43
265.7856,1266.659132,31068553.59
266.0904,1275.439906,31218692.1
266.3952,1284.262372,31372877.46
266.7,1293.127392,31529086.26
267.0048,1302.035585,31686913.8
267.3096,1310.987689,31845955.4
267.6144,1319.983829,32008639.17
267.9192,1329.026594,32175369.8
268.224,1338.114135,32335220.77
268.5288,1347.245464,32493048.31
268.8336,1356.420952,32653303.97
269.1384,1365.640598,32813154.94
269.4432,1374.904773,32974624.65
