Year,Month,Scen,Inflow,Month-Year
1997,7,Historic,2.484035529,1997-7
1997,8,Historic,0.502885059,1997-8
1997,9,Historic,0.2564753,1997-9
1998,1,Historic,2.898558317,1998-1
1998,10,Historic,0.203575035,1998-10
1998,11,Historic,0.482440271,1998-11
1998,12,Historic,0.46943977,1998-12
1998,2,Historic,11.10074703,1998-2
1998,3,Historic,7.143023533,1998-3
1998,4,Historic,7.466486615,1998-4
1998,5,Historic,5.770856831,1998-5
1998,6,Historic,13.38412465,1998-6
1998,7,Historic,12.53833172,1998-7
1998,8,Historic,2.499584523,1998-8
1998,9,Historic,0.602401157,1998-9
1999,1,Historic,1.737291293,1999-1
1999,10,Historic,0.113838323,1999-10
1999,11,Historic,0.377400954,1999-11
1999,12,Historic,0.144375885,1999-12
1999,2,Historic,3.988679114,1999-2
1999,3,Historic,2.220998703,1999-3
1999,4,Historic,4.099109565,1999-4
1999,5,Historic,12.32876027,1999-5
1999,6,Historic,7.851333995,1999-6
1999,7,Historic,1.146192529,1999-7
1999,8,Historic,0.202957082,1999-8
1999,9,Historic,0.212840363,1999-9
2000,1,Historic,3.998542266,2000-1
2000,10,Historic,0.36476226,2000-10
2000,11,Historic,0.157517166,2000-11
2000,12,Historic,0.200112492,2000-12
2000,2,Historic,5.548549404,2000-2
2000,3,Historic,6.965189952,2000-3
2000,4,Historic,12.81430798,2000-4
2000,5,Historic,8.358933569,2000-5
2000,6,Historic,2.044443547,2000-6
2000,7,Historic,0.243961627,2000-7
2000,8,Historic,0.066229777,2000-8
2000,9,Historic,0.092248879,2000-9
2001,1,Historic,0.850379141,2001-1
2001,10,Historic,0.145716816,2001-10
2001,11,Historic,0.882962795,2001-11
2001,12,Historic,1.558506296,2001-12
2001,2,Historic,1.014060976,2001-2
2001,3,Historic,3.099711128,2001-3
2001,4,Historic,3.824840407,2001-4
2001,5,Historic,11.18250999,2001-5
2001,6,Historic,2.842425252,2001-6
2001,7,Historic,0.229916675,2001-7
2001,8,Historic,0.058297433,2001-8
2001,9,Historic,0.085617103,2001-9
2002,1,Historic,1.514359813,2002-1
2002,10,Historic,0.082706244,2002-10
2002,11,Historic,2.601274585,2002-11
2002,12,Historic,1.944465412,2002-12
2002,2,Historic,1.544333007,2002-2
2002,3,Historic,2.412587449,2002-3
2002,4,Historic,5.623964865,2002-4
2002,5,Historic,7.862760004,2002-5
2002,6,Historic,4.671520072,2002-6
2002,7,Historic,0.553749079,2002-7
2002,8,Historic,0.068882135,2002-8
2002,9,Historic,0.084673342,2002-9
